Comment,Designator,Footprint,LCSC
USBLC6-2SC6,U3,Package_TO_SOT_SMD:SOT-23-6,
BOOT,SW2,TS-1187A-B-A-B:SW_TS-1187A-B-A-B,
5k1,"R1,R2,R3,R4,R6,R7",Resistor_SMD:R_0402_1005Metric,
100nF,"C1,C2,C5,C6,C13,C14,C17,C18,C20",Capacitor_SMD:C_0402_1005Metric,
GPIO Breakout,J2,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
10nF,C8,Capacitor_SMD:C_0402_1005Metric,
CPU,D3,LED_SMD:LED_0603_1608Metric,
1.5pF,"C11,C12",Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
AMS1117-3.3,U4,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
2.4nH,L1,Inductor_SMD:L_0402_1005Metric,
2.4nH,"L2,L3",Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
WiFi,D2,LED_SMD:LED_0603_1608Metric,
12p,"C9,C10",Capacitor_SMD:C_0402_1005Metric,
RESET,SW1,TS-1187A-B-A-B:SW_TS-1187A-B-A-B,
L327S400H11L,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
1k,"R5,R8,R9,R10",Resistor_SMD:R_0402_1005Metric,
10uF,"C3,C15,C16",Capacitor_SMD:C_0402_1005Metric,
150pF,C19,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1uF,"C4,C7",Capacitor_SMD:C_0402_1005Metric,
PWR,D1,LED_SMD:LED_0603_1608Metric,
ESP32-C3FH4,U1,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,
NT3H2111W0FHKH,U2,C710403:C710403,
